Pattern,n,pr
1 1 1 1,46780,0.7536409331099369
0 0 0 0,3117,0.05021587833483696
0 1 1 1,3030,0.04881428019074623
0 0 1 1,2103,0.033880010310607035
1 1 1 0,1807,0.029111354555999485
0 0 0 1,1454,0.023424410362160072
1 1 0 0,1151,0.01854298234308545
1 0 0 0,837,0.013484340765562573
1 0 1 1,570,0.009182884392318598
1 1 0 1,528,0.008506250805516175
1 0 0 1,402,0.006476350045108906
0 1 1 0,104,0.0016754736435107616
0 0 1 0,77,0.0012404949091377755
0 1 0 0,70,0.001127722644670705
0 1 0 1,26,4.188684108776904e-4
1 0 1 0,16,2.577651759247326e-4
